% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.318	9	17	32	9	1	14	775	0	0
0.318	10	1	32	9	1	18	967	0	0
0.318	11	2	32	9	1	26	1836	0	0
0.318	12	3	32	9	1	28	2196	0	0
0.318	13	4	32	9	1	18	967	0	0
0.319	1	5	32	10	4	10	469	0	0
0.319	2	16	32	10	2	4	217	0	0
0.319	4	12	32	10	1	8	421	0	0
0.319	5	23	32	10	1	8	421	0	0
0.319	6	14	32	10	3	8	421	0	0
0.319	9	17	32	10	1	14	775	0	0
0.319	10	1	32	10	1	18	967	0	0
0.319	11	2	32	10	1	26	1836	0	0
0.319	12	3	32	10	1	28	2196	0	0
0.319	13	4	32	10	1	18	967	0	0
0.32	1	10	33	1	2	8	421	0	0
0.32	2	21	33	1	1	10	469	0	0
0.32	4	22	33	1	4	12	597	0	0
0.32	5	23	33	1	1	8	421	0	0
0.32	6	7	33	1	4	10	469	0	0
0.32	9	17	33	1	1	14	775	0	0
0.32	10	1	33	1	1	18	967	0	0
0.32	11	2	33	1	1	26	1836	0	0
0.32	12	3	33	1	1	28	2196	0	0
0.32	13	4	33	1	1	18	967	0	0
0.321	1	20	33	2	1	4	217	0	0
0.321	2	16	33	2	2	4	217	0	0
0.321	4	9	33	2	6	2	133	0	0
0.321	5	23	33	2	1	8	421	0	0
0.321	6	15	33	2	1	2	133	0	0
0.321	9	17	33	2	1	14	775	0	0
0.321	10	1	33	2	1	18	967	0	0
0.321	11	2	33	2	1	26	1836	0	0
0.321	12	3	33	2	1	28	2196	0	0
0.321	13	4	33	2	1	18	967	0	0
0.322	1	13	33	3	5	6	309	0	0
0.322	2	21	33	3	1	10	469	0	0
0.322	4	19	33	3	3	6	309	0	0
0.322	5	23	33	3	1	8	421	0	0
0.322	6	8	33	3	2	4	217	0	0
0.322	9	17	33	3	1	14	775	0	0
