% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.303	13	4	31	4	1	18	999
0.304	1	11	31	5	3	6	63
0.304	1	20	31	5	1	10	97
0.304	1	10	31	5	2	10	97
0.304	2	21	31	5	1	4	105
0.304	2	16	31	5	2	2	65
0.304	4	12	31	5	1	4	41
0.304	4	6	31	5	2	4	41
0.304	4	19	31	5	3	2	26
0.304	4	22	31	5	4	0	15
0.304	4	9	31	5	6	0	15
0.304	5	23	31	5	1	6	325
0.304	6	15	31	5	1	6	75
0.304	6	8	31	5	2	6	75
0.304	6	14	31	5	3	0	19
0.304	6	7	31	5	4	0	19
0.304	9	17	31	5	1	6	325
0.304	10	1	31	5	1	18	999
0.304	11	2	31	5	1	18	999
0.304	12	3	31	5	1	14	807
0.304	13	4	31	5	1	18	999
0.305	1	11	31	6	3	6	63
0.305	1	20	31	6	1	10	97
0.305	1	10	31	6	2	10	97
0.305	2	21	31	6	1	4	105
0.305	2	16	31	6	2	2	65
0.305	4	12	31	6	1	4	41
0.305	4	6	31	6	2	4	41
0.305	4	19	31	6	3	2	26
0.305	4	22	31	6	4	0	15
